City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Saint-Francois,FR,46.4154,3.9054,56.68,89,0,2.3,clear sky
189,Kaniama,CD,-7.5667,24.1833,67.93,39,71,4.97,broken clouds
190,Jambi,ID,-1.6,103.6167,72.99,97,86,2.95,overcast clouds
191,Ibra,OM,22.6906,58.5334,86.32,51,100,2.44,overcast clouds
192,Mangaluru,IN,12.8667,74.8833,77.86,88,75,0.0,broken clouds
193,Kavaratti,IN,10.5669,72.642,81.97,77,82,15.64,broken clouds
194,Kilis,TR,36.7161,37.115,82.63,51,0,7.09,clear sky
195,Monster,NL,52.0258,4.175,60.98,80,32,1.99,scattered clouds
196,Kautokeino,NO,69.0125,23.0412,35.28,90,45,4.16,scattered clouds
197,San Jose,US,37.3394,-121.895,90.52,51,20,11.5,few clouds
198,Esso,RU,55.9333,158.7,53.65,62,97,1.95,light rain
199,East London,ZA,-33.0153,27.9116,62.44,63,31,19.48,scattered clouds
200,Xiangxiang,CN,27.7333,112.5333,83.05,68,0,1.32,clear sky
201,Aasiaat,GL,68.7098,-52.8699,41.23,84,0,8.43,clear sky
202,Puerto Ayacucho,VE,5.6639,-67.6236,75.47,89,89,3.15,overcast clouds
203,Tezu,IN,27.9167,96.1667,74.98,88,24,3.22,few clouds
204,Lunenburg,CA,44.3835,-64.3155,68.49,76,6,13.8,clear sky
205,San Andres,CO,12.5847,-81.7006,86.02,74,75,16.11,broken clouds
206,Kaihua,CN,23.3687,104.28,64.11,89,32,4.34,scattered clouds
207,Somerset,US,40.5668,-74.5496,75.09,91,90,1.01,light rain
208,Tuktoyaktuk,CA,69.4541,-133.0374,60.8,88,90,11.5,overcast clouds
209,Hofn,IS,64.2539,-15.2082,53.65,95,99,3.27,overcast clouds
210,Tilichiki,RU,60.4667,166.1,51.28,71,100,7.14,overcast clouds
211,Husavik,IS,66.0449,-17.3389,53.51,72,62,1.54,broken clouds
212,Huarmey,PE,-10.0681,-78.1522,66.79,78,13,9.86,few clouds
213,Tamiahua,MX,21.2667,-97.45,86.0,66,8,10.42,clear sky
214,Esperance,AU,-33.8667,121.9,53.35,67,65,21.34,broken clouds
215,Wanning,CN,18.8003,110.3967,80.94,86,100,9.48,overcast clouds
216,Khani,GE,41.9563,42.9566,60.37,95,85,2.13,overcast clouds
217,Naze,JP,28.3667,129.4833,83.32,86,91,13.87,overcast clouds
218,Port Elizabeth,ZA,-33.918,25.5701,61.09,72,20,27.63,few clouds
219,Iralaya,HN,15.0,-83.2333,86.09,81,20,10.13,few clouds
220,Deputatskiy,RU,69.3,139.9,45.86,65,8,5.7,clear sky
221,Mocuba,MZ,-16.8392,36.9856,59.05,86,0,0.92,clear sky
222,Shumskiy,RU,54.8318,99.1328,54.61,98,100,4.03,overcast clouds
223,Cumberland,US,35.0502,-78.8664,88.29,94,75,6.91,broken clouds
224,Buenos Aires,AR,-34.6132,-58.3772,53.02,90,40,9.22,scattered clouds
225,Ajdabiya,LY,30.7554,20.2263,83.03,49,0,7.29,clear sky
226,Saint Anthony,US,45.0205,-93.218,80.92,36,75,10.36,broken clouds
227,Umea,SE,63.8284,20.2597,56.91,76,90,3.44,overcast clouds
228,Gohpur,IN,26.8833,93.6333,76.12,96,36,1.28,scattered clouds
229,Eureka,US,40.8021,-124.1637,72.19,74,56,4.0,broken clouds
230,Luderitz,NA,-26.6481,15.1594,64.96,37,0,6.02,clear sky
231,Souillac,MU,-20.5167,57.5167,68.38,88,75,6.91,broken clouds
232,Teguise,ES,29.0605,-13.564,68.22,73,40,16.11,scattered clouds
233,Matagami,CA,49.7502,-77.6328,60.91,63,20,10.36,few clouds
234,Sao Felix Do Xingu,BR,-6.6447,-51.995,81.32,40,91,1.81,overcast clouds
235,Nouadhibou,MR,20.931,-17.0347,75.18,73,0,13.8,clear sky
236,Olafsvik,IS,64.8945,-23.7142,53.78,92,100,2.39,overcast clouds
237,Kloulklubed,PW,7.0419,134.2556,84.16,76,100,14.32,overcast clouds
238,Bontang,ID,0.1333,117.5,76.77,90,68,6.89,broken clouds
239,Singaraja,ID,-8.112,115.0882,77.67,80,25,5.28,scattered clouds
240,Mersing,MY,2.4312,103.8405,75.11,94,61,5.75,broken clouds
241,Sioux Lookout,CA,50.1001,-91.917,75.58,39,67,8.77,broken clouds
242,Bintulu,MY,3.1667,113.0333,75.61,94,40,3.44,scattered clouds
243,Narsaq,GL,60.9167,-46.05,64.62,77,100,4.72,light rain
244,Tiruchchendur,IN,8.4833,78.1167,81.1,65,100,6.53,overcast clouds
245,Gamba,GA,-2.65,10.0,73.53,84,100,7.43,overcast clouds
246,Save,BJ,8.0425,2.486,74.37,85,94,2.82,overcast clouds
247,Awjilah,LY,29.1081,21.2869,85.71,27,3,10.78,clear sky
248,Vardo,NO,70.3705,31.1107,51.03,97,100,6.26,overcast clouds
249,Komyshnya,UA,50.1859,33.684,71.42,52,24,7.09,few clouds
250,Gao,ML,16.6362,1.637,91.35,42,56,10.4,broken clouds
251,Vanavara,RU,60.34,102.2797,59.18,61,41,4.21,scattered clouds
252,Tres Arroyos,AR,-38.3739,-60.2798,43.54,48,1,8.01,clear sky
253,Buloh Kasap,MY,2.5536,102.764,76.91,91,82,1.7,broken clouds
254,Atar,MR,20.5169,-13.0499,92.79,35,42,13.2,scattered clouds
255,Kutahya,TR,39.4242,29.9833,64.29,47,0,3.11,clear sky
256,Shirgaon,IN,19.7,72.7,80.76,83,100,19.48,overcast clouds
257,Gusev,RU,54.5922,22.1997,58.62,94,100,2.19,overcast clouds
258,Pierre,US,44.3683,-100.351,88.72,27,1,1.01,clear sky
259,Kaitangata,NZ,-46.2817,169.8464,47.73,90,46,4.07,scattered clouds
260,Mao,ES,39.8885,4.2658,70.36,78,0,4.61,clear sky
261,Cockburn Town,TC,21.4612,-71.1419,81.99,80,100,20.13,overcast clouds
262,Westport,US,41.1415,-73.3579,74.77,59,75,7.0,broken clouds
263,Hambantota,LK,6.1241,81.1185,79.05,82,100,15.5,overcast clouds
264,Sechura,PE,-5.5569,-80.8222,70.14,67,5,19.98,clear sky
265,Mikhaylovka,RU,50.06,43.2379,78.04,49,68,5.46,broken clouds
266,Svetlogorsk,BY,52.6333,29.7333,67.39,84,79,6.24,broken clouds
267,Dicabisagan,PH,17.0818,122.4157,83.35,76,100,3.13,overcast clouds
268,Novochernorechenskiy,RU,56.2669,91.0828,54.7,89,15,4.07,few clouds
