City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
520,San Quintin,MX,77.56,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
521,Bubaque,GW,79.79,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
523,Cahabon,GT,87.1,broken clouds,15.5667,-89.8167,Hotel San Angelo Santa María Cahabón A.V.
530,North Bend,US,80.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
535,Malkangiri,IN,75.45,overcast clouds,18.35,81.9,Girls' Hostel
538,Trinidad,BO,75.18,smoke,-14.8333,-64.9,Hotel Piesta
539,Kailua,US,89.58,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
542,Vanimo,PG,80.02,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
548,Banda Aceh,ID,80.02,overcast clouds,5.5577,95.3222,Sulthan Hotel International
549,Djenne,ML,84.09,broken clouds,13.9061,-4.5533,Hôtel Chez Baba
550,Cikampek,ID,77.65,few clouds,-6.4197,107.4558,Prime Plaza Hotel Purwakarta
554,Waingapu,ID,76.21,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
556,Searcy,US,86.22,clear sky,35.2506,-91.7363,"Holiday Inn Express & Suites Searcy, an IHG Hotel"
562,Borba,BR,80.73,scattered clouds,-4.3878,-59.5939,Hotel da Amazônia
565,Fairbanks,US,79.02,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
574,Nortelandia,BR,76.91,clear sky,-14.4547,-56.8028,Hotel Karysmã
575,Elk City,US,81.28,overcast clouds,35.412,-99.4043,Hampton Inn & Suites Elk City
576,Nizhniy Baskunchak,RU,83.12,clear sky,48.2198,46.8311,Arman hotel
577,Tambun,ID,79.47,haze,-6.2641,107.0712,@HOM Premiere Tambun
579,Juegang,CN,81.99,light rain,32.3174,121.1855,Rudong Y Hotel
581,Yatou,CN,76.53,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
586,Puerto El Triunfo,SV,89.76,overcast clouds,13.2833,-88.55,Hotel Jardin
587,Kasongo,CD,77.02,broken clouds,-4.45,26.6667,Guest Hôtel
588,Bhuj,IN,80.19,overcast clouds,23.2667,69.6667,Regenta Resort Bhuj
594,Sinnamary,GF,79.34,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
601,Itapirapua,BR,78.51,scattered clouds,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
606,Samarai,PG,78.06,overcast clouds,-10.6167,150.6667,Nuli Sapi
607,Fukuma,JP,84.2,overcast clouds,33.7667,130.4667,Masago
611,Srandakan,ID,75.07,scattered clouds,-7.9386,110.2506,Puri Brata
612,Hobyo,SO,77.14,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
614,Hashimoto,JP,84.74,overcast clouds,34.3167,135.6167,天然温泉ゆの里
616,Turan,VN,86.05,light rain,16.0678,108.2208,Sun River Hotel
617,Kelvington,CA,85.66,overcast clouds,52.1667,-103.5343,Sportsman Motel
619,Miracema Do Tocantins,BR,81.9,clear sky,-9.5618,-48.3967,Miami Apart Hotel
623,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
628,Pakdasht,IR,78.8,overcast clouds,35.4752,51.6807,باران مارال سما
629,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
630,Ipixuna,BR,82.35,broken clouds,-1.7625,-48.8043,Casa da Oscarina
633,Kirovskiy,RU,76.91,clear sky,45.0917,133.5136,"Uyut, Gostinitsa"
635,Pandegelang,ID,76.66,scattered clouds,-6.31,106.1058,Rizki Hotel & Resto
636,Elizabeth City,US,83.01,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
637,Stephenville,US,86.61,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
638,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
640,Alwar,IN,79.54,overcast clouds,27.5667,76.6,Hotel Aashyana Alwar
643,Balabac,PH,83.88,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
644,Tautira,PF,82.42,scattered clouds,-17.7333,-149.15,Pension Oaoa
646,Kulhudhuffushi,MV,82.78,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
648,Buala,SB,78.55,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
649,Khash,IR,77.79,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
650,Tursunzoda,TJ,79.68,clear sky,38.5144,68.2333,Stoyanka Charli
652,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
653,Takoradi,GH,75.27,scattered clouds,4.8845,-1.7554,Raybow International Hotel
654,Maumere,ID,78.31,broken clouds,-8.6199,122.2111,Sylvia Hotel
656,Pedernales,DO,86.36,overcast clouds,18.0384,-71.744,Hotel Costa Marina
659,Kattivakkam,IN,84.29,overcast clouds,13.2167,80.3167,Euronova Freezer
664,Robat Karim,IR,78.66,broken clouds,35.4846,51.0829,لوازم خانگي شايان
668,Nizwa,OM,86.9,overcast clouds,22.9333,57.5333,Orient Apartments
